input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,trees,variance_estimator,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,none,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,start_config,1,1,0.337422783036357,0,14,0
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,RS_1000,output_trafo,1,4,0.498157567244936,0,14,1
none,log,random,0.25,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,acqopt,2,23,0.68638071487657,0,14,2
none,log,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,variance_estimator,3,12,0.784719421320485,0,14,3
none,log,random,0.10,0,500,law_of_total_variance,EI,,FALSE,,LS,init_size_fraction,4,7,0.777751101181543,0,14,4
none,log,random,0.10,0,500,law_of_total_variance,CB,3,,FALSE,LS,acqf,5,19,0.795990258468379,0,14,5
none,log,random,0.10,0,500,law_of_total_variance,CB,1,,FALSE,LS,acqf,6,18,0.802213119159612,0,14,6
none,log,random,0.05,0,500,law_of_total_variance,CB,1,,FALSE,LS,init_size_fraction,7,6,0.816058484524809,0,14,7
none,log,random,0.05,0,500,law_of_total_variance,CB,10,,TRUE,LS,acqf,8,17,0.800587057163055,0,14,8
