input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,none,random,0.25,0,gp,,,,matern5_2,0,TRUE,EI,,FALSE,,RS_1000,surrogate,1,25,0.804486944657329,0,8,1
none,none,random,0.25,0,gp,,,,exp,0,TRUE,EI,,FALSE,,RS_1000,surrogate,1,26,0.651035319274308,0,8,1
none,none,random,0.25,0,gp,,,,gauss,1e-3,TRUE,EI,,FALSE,,RS_1000,surrogate,1,27,0.787956445425404,0,8,1
none,none,random,0.25,0,gp,,,,matern3_2,1e-3,TRUE,EI,,FALSE,,RS_1000,surrogate,1,28,0.818685040509343,0,8,1
none,none,random,0.25,0,gp,,,,matern5_2,1e-3,TRUE,EI,,FALSE,,RS_1000,surrogate,1,29,0.812511974498686,0,8,1
none,none,random,0.25,0,gp,,,,exp,1e-3,TRUE,EI,,FALSE,,RS_1000,surrogate,1,30,0.659802790672246,0,8,1
none,none,random,0.25,0,gp,,,,gauss,1e-8,TRUE,EI,,FALSE,,RS_1000,surrogate,1,31,0.769550304329672,0,8,1
none,none,random,0.25,0,gp,,,,matern3_2,1e-8,TRUE,EI,,FALSE,,RS_1000,surrogate,1,32,0.831525951906075,0,8,1
none,none,random,0.25,0,gp,,,,matern5_2,1e-8,TRUE,EI,,FALSE,,RS_1000,surrogate,1,33,0.80443900681823,0,8,1
none,none,random,0.25,0,gp,,,,exp,1e-8,TRUE,EI,,FALSE,,RS_1000,surrogate,1,34,0.669604793376564,0,8,1
none,none,random,0.25,0,gp,,,,matern3_2,0,FALSE,EI,,FALSE,,RS_1000,surrogate,1,35,0.81296887854331,0,8,1
none,none,random,0.25,0,gp,,,,matern5_2,0,FALSE,EI,,FALSE,,RS_1000,surrogate,1,36,0.803882516034457,0,8,1
none,none,random,0.25,0,gp,,,,exp,0,FALSE,EI,,FALSE,,RS_1000,surrogate,1,37,0.684955487974079,0,8,1
none,none,random,0.25,0,gp,,,,gauss,1e-3,FALSE,EI,,FALSE,,RS_1000,surrogate,1,38,0.76612151416171,0,8,1
none,none,random,0.25,0,gp,,,,matern3_2,1e-3,FALSE,EI,,FALSE,,RS_1000,surrogate,1,39,0.796584491962609,0,8,1
none,none,random,0.25,0,gp,,,,matern5_2,1e-3,FALSE,EI,,FALSE,,RS_1000,surrogate,1,40,0.806231229852608,0,8,1
none,none,random,0.25,0,gp,,,,exp,1e-3,FALSE,EI,,FALSE,,RS_1000,surrogate,1,41,0.658491573435736,0,8,1
none,none,random,0.25,0,gp,,,,gauss,1e-8,FALSE,EI,,FALSE,,RS_1000,surrogate,1,42,0.757078021415961,0,8,1
none,none,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,RS_1000,surrogate,1,43,0.804776064845106,0,8,1
none,none,random,0.25,0,gp,,,,matern5_2,1e-8,FALSE,EI,,FALSE,,RS_1000,surrogate,1,44,0.786756549641885,0,8,1
none,none,random,0.25,0,gp,,,,exp,1e-8,FALSE,EI,,FALSE,,RS_1000,surrogate,1,45,0.667634952587936,0,8,1
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,PI,,,,RS_1000,acqf,1,46,0.750515386592027,0,8,1
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,Mean,,,,RS_1000,acqf,1,47,0.737790690611735,0,8,1
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,1,,TRUE,RS_1000,acqf,1,48,0.760925699397634,0,8,1
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,3,,TRUE,RS_1000,acqf,1,49,0.673605543839892,0,8,1
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,10,,TRUE,RS_1000,acqf,1,50,0.530527280527101,0,8,1
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,1,,FALSE,RS_1000,acqf,1,51,0.768406061449415,0,8,1
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,3,,FALSE,RS_1000,acqf,1,52,0.705897079778558,0,8,1
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,10,,FALSE,RS_1000,acqf,1,53,0.538688794581696,0,8,1
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,TRUE,,RS_1000,acqf,1,54,0.67569617643965,0,8,1
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS,acqopt,1,55,0.781357305789105,0,8,1
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,LS,acqopt,1,56,0.876142716494018,0,8,1
