input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,trees,variance_estimator,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,none,random,0.25,4,500,jack,CB,1,,FALSE,RS,acqopt,5,23,0.538199890430649,0,14,5
unitcube,none,sobol,0.25,4,500,jack,CB,1,,FALSE,LS,input_trafo,6,1,0.91232953231245,0,14,6
none,standardize,sobol,0.25,4,500,jack,CB,1,,FALSE,LS,output_trafo,6,2,0.867209788621711,0,14,6
none,log,sobol,0.25,4,500,jack,CB,1,,FALSE,LS,output_trafo,6,3,0.869998590412241,0,14,6
none,none,random,0.25,4,500,jack,CB,1,,FALSE,LS,init,6,4,0.918227867619451,0,14,6
none,none,lhs,0.25,4,500,jack,CB,1,,FALSE,LS,init,6,5,0.926784556511,0,14,6
none,none,sobol,0.05,4,500,jack,CB,1,,FALSE,LS,init_size_fraction,6,6,0.877764931527362,0,14,6
none,none,sobol,0.10,4,500,jack,CB,1,,FALSE,LS,init_size_fraction,6,7,0.853347441520592,0,14,6
none,none,sobol,0.25,0,500,jack,CB,1,,FALSE,LS,random_interleave_iter,6,8,0.88122590103689,0,14,6
none,none,sobol,0.25,2,500,jack,CB,1,,FALSE,LS,random_interleave_iter,6,9,0.868534354125492,0,14,6
none,none,sobol,0.25,4,10,jack,CB,1,,FALSE,LS,trees,6,10,0.275904532984365,0,14,6
none,none,sobol,0.25,4,500,ensemble_standard_deviation,CB,1,,FALSE,LS,variance_estimator,6,11,0.871132762223277,0,14,6
none,none,sobol,0.25,4,500,law_of_total_variance,CB,1,,FALSE,LS,variance_estimator,6,12,0.670834586418474,0,14,6
none,none,sobol,0.25,4,500,jack,PI,,,,LS,acqf,6,13,0.789885118793534,0,14,6
none,none,sobol,0.25,4,500,jack,Mean,,,,LS,acqf,6,14,0.559493592656327,0,14,6
none,none,sobol,0.25,4,500,jack,CB,1,,TRUE,LS,acqf,6,15,0.89751217105021,0,14,6
none,none,sobol,0.25,4,500,jack,CB,3,,TRUE,LS,acqf,6,16,0.520067511914421,0,14,6
none,none,sobol,0.25,4,500,jack,CB,10,,TRUE,LS,acqf,6,17,0.23159835086922,0,14,6
none,none,sobol,0.25,4,500,jack,CB,3,,FALSE,LS,acqf,6,18,0.490317469092059,0,14,6
none,none,sobol,0.25,4,500,jack,CB,10,,FALSE,LS,acqf,6,19,0.241673409500792,0,14,6
none,none,sobol,0.25,4,500,jack,EI,,TRUE,,LS,acqf,6,20,0.364649604284146,0,14,6
none,none,sobol,0.25,4,500,jack,EI,,FALSE,,LS,acqf,6,21,0.593429152043798,0,14,6
none,none,sobol,0.25,4,500,jack,CB,1,,FALSE,RS_1000,acqopt,6,22,0.464009771838011,0,14,6
none,none,sobol,0.25,4,500,jack,CB,1,,FALSE,RS,acqopt,6,23,0.538812342916534,0,14,6
