input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,mean_runtime,min_runtime,max_runtime
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,10,,TRUE,CMAES,90,1,275
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,1,,FALSE,CMAES,84,1,277
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,3,,FALSE,CMAES,90,1,272
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,10,,FALSE,CMAES,88,1,234
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,TRUE,,CMAES,102,1,235
unitcube,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,69,1,164
none,standardize,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,69,1,204
none,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,73,0,268
none,none,lhs,0.05,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,86,1,282
none,none,lhs,0.10,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,76,1,265
none,none,lhs,0.25,2,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,49,1,146
none,none,lhs,0.25,4,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,55,1,133
none,none,lhs,0.25,0,rf,TRUE,10,jack,,,,EI,,FALSE,,CMAES,19,7,39
none,none,lhs,0.25,0,rf,FALSE,10,jack,,,,EI,,FALSE,,CMAES,19,8,39
none,none,lhs,0.25,0,rf,TRUE,500,jack,,,,EI,,FALSE,,CMAES,64,20,109
none,none,lhs,0.25,0,rf,FALSE,500,jack,,,,EI,,FALSE,,CMAES,63,26,110
none,none,lhs,0.25,0,rf,TRUE,10,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,15,9,21
none,none,lhs,0.25,0,rf,FALSE,10,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,16,9,21
none,none,lhs,0.25,0,rf,TRUE,500,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,46,19,73
none,none,lhs,0.25,0,rf,FALSE,500,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,47,20,77
none,none,lhs,0.25,0,rf,TRUE,10,law_of_total_variance,,,,EI,,FALSE,,CMAES,15,9,20
none,none,lhs,0.25,0,rf,FALSE,10,law_of_total_variance,,,,EI,,FALSE,,CMAES,15,9,24
none,none,lhs,0.25,0,rf,TRUE,500,law_of_total_variance,,,,EI,,FALSE,,CMAES,57,18,147
none,none,lhs,0.25,0,rf,FALSE,500,law_of_total_variance,,,,EI,,FALSE,,CMAES,61,15,146
none,none,lhs,0.25,0,gp,,,,gauss,0,TRUE,EI,,FALSE,,CMAES,175,1,372
none,none,lhs,0.25,0,gp,,,,matern3_2,0,TRUE,EI,,FALSE,,CMAES,180,1,349
none,none,lhs,0.25,0,gp,,,,matern5_2,0,TRUE,EI,,FALSE,,CMAES,188,1,365
none,none,lhs,0.25,0,gp,,,,exp,0,TRUE,EI,,FALSE,,CMAES,129,2,282
none,none,lhs,0.25,0,gp,,,,gauss,1e-3,TRUE,EI,,FALSE,,CMAES,208,1,382
none,none,lhs,0.25,0,gp,,,,matern3_2,1e-3,TRUE,EI,,FALSE,,CMAES,165,1,332
none,none,lhs,0.25,0,gp,,,,matern5_2,1e-3,TRUE,EI,,FALSE,,CMAES,183,1,331
none,none,lhs,0.25,0,gp,,,,exp,1e-3,TRUE,EI,,FALSE,,CMAES,135,3,321
none,none,lhs,0.25,0,gp,,,,gauss,1e-8,TRUE,EI,,FALSE,,CMAES,194,1,384
none,none,lhs,0.25,0,gp,,,,matern3_2,1e-8,TRUE,EI,,FALSE,,CMAES,164,1,301
none,none,lhs,0.25,0,gp,,,,matern5_2,1e-8,TRUE,EI,,FALSE,,CMAES,178,1,346
none,none,lhs,0.25,0,gp,,,,exp,1e-8,TRUE,EI,,FALSE,,CMAES,119,4,278
none,none,lhs,0.25,0,gp,,,,matern3_2,0,FALSE,EI,,FALSE,,CMAES,70,1,151
none,none,lhs,0.25,0,gp,,,,matern5_2,0,FALSE,EI,,FALSE,,CMAES,78,1,165
none,none,lhs,0.25,0,gp,,,,exp,0,FALSE,EI,,FALSE,,CMAES,56,2,117
none,none,lhs,0.25,0,gp,,,,gauss,1e-3,FALSE,EI,,FALSE,,CMAES,81,1,204
none,none,lhs,0.25,0,gp,,,,matern3_2,1e-3,FALSE,EI,,FALSE,,CMAES,73,1,160
none,none,lhs,0.25,0,gp,,,,matern5_2,1e-3,FALSE,EI,,FALSE,,CMAES,79,1,177
none,none,lhs,0.25,0,gp,,,,exp,1e-3,FALSE,EI,,FALSE,,CMAES,58,2,142
none,none,lhs,0.25,0,gp,,,,gauss,1e-8,FALSE,EI,,FALSE,,CMAES,85,1,196
none,none,lhs,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,CMAES,65,0,140
none,none,lhs,0.25,0,gp,,,,matern5_2,1e-8,FALSE,EI,,FALSE,,CMAES,67,1,140
none,none,lhs,0.25,0,gp,,,,exp,1e-8,FALSE,EI,,FALSE,,CMAES,45,3,100
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,PI,,,,CMAES,7,3,18
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,Mean,,,,CMAES,64,1,239
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,1,,TRUE,CMAES,71,1,239
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,3,,TRUE,CMAES,89,1,237
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,10,,TRUE,CMAES,89,1,269
none,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,CB,1,,FALSE,CMAES,86,1,270
