scenario,instance,target_variable,orig_direction,rs_small,se_rs_small,rs_large
lcbench,167168,val_accuracy,maximize,-80.9467216491699,0.445585349141939,-88.920051574707
lcbench,189873,val_accuracy,maximize,-82.7770416259766,0.837500055330146,-96.1931915283203
lcbench,189906,val_accuracy,maximize,-88.4806823730469,0.264825999107208,-94.3204116821289
nb301,CIFAR10,val_accuracy,maximize,-94.2039695739746,0.0411634223283872,-95.1620330810547
rbv2_rpart,14,acc,maximize,-0.765943245093028,0.00167779257325118,-0.801772713661194
rbv2_rpart,40499,acc,maximize,-0.864162568251292,0.00131572993980863,-0.885511636734009
rbv2_ranger,16,acc,maximize,-0.96196077466011,0.000534509305641204,-0.970949411392212
rbv2_ranger,42,acc,maximize,-0.986648537715276,0.000484911123175267,-0.993796110153198
rbv2_xgboost,12,acc,maximize,-0.982971207300822,0.000347445564077899,-1
rbv2_xgboost,1501,acc,maximize,-0.926046538352966,0.0023364226355927,-0.999424159526825
rbv2_xgboost,16,acc,maximize,-0.97246253490448,0.000775357459154506,-0.999992370605469
rbv2_super,1457,acc,maximize,-0.804415313402812,0.00164020225638044,-0.844422996044159
rbv2_super,1063,acc,maximize,-0.910517050822576,0.00409813956205906,-0.965861618518829
rbv2_super,15,acc,maximize,-0.983329643805822,0.00054105614771261,-0.993117272853851
