scenario,instance,target_variable,orig_direction,rs_small,se_rs_small,rs_large
lcbench,167168,val_accuracy,maximize,-81.6499989827474,0.376248801970118,-88.6957778930664
lcbench,189873,val_accuracy,maximize,-83.2339556376139,0.84293155538002,-95.4016571044922
lcbench,189906,val_accuracy,maximize,-88.5910532633464,0.233044122524326,-94.6617584228516
rbv2_rpart,14,acc,maximize,-0.769101039568583,0.0020550166196643,-0.800861835479736
rbv2_rpart,40499,acc,maximize,-0.869898603359858,0.000895446603766211,-0.885781943798065
rbv2_xgboost,12,acc,maximize,-0.980773029724757,0.000429867380262743,-0.986487030982971
rbv2_xgboost,1501,acc,maximize,-0.933200611670812,0.00135056023662935,-0.955501556396484
rbv2_xgboost,40499,acc,maximize,-0.990792852640152,0.000329943127078645,-0.99599689245224
