scenario,instance,target_variable,orig_direction,rs_small,se_rs_small,rs_large
lcbench,167168,val_accuracy,maximize,-81.5835688273112,0.411353512420265,-88.6957778930664
lcbench,189873,val_accuracy,maximize,-85.3380302429199,0.615961872586626,-95.4016571044922
lcbench,189906,val_accuracy,maximize,-89.239953104655,0.203577630807378,-94.6617584228516
rbv2_rpart,14,acc,maximize,-0.77654692530632,0.00147463824922692,-0.800861835479736
rbv2_rpart,40499,acc,maximize,-0.870643641551336,0.00103362652300596,-0.885781943798065
rbv2_xgboost,12,acc,maximize,-0.981390438477198,0.000312469802237734,-0.986487030982971
rbv2_xgboost,1501,acc,maximize,-0.937366344531377,0.00112833938631325,-0.955501556396484
rbv2_xgboost,40499,acc,maximize,-0.991127308209737,0.000313326863724876,-0.99599689245224
