target,orig_direction,best,scenario,instance,target_variable,repl,iter
-32.6218872070313,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,68
-38.2497253417969,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,69
-66.7511520385742,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,70
-33.2179985046387,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,71
-41.3949851989746,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,72
-30.4014911651611,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,73
-39.1384239196777,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,74
-57.2196807861328,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,75
-73.5378341674805,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,76
-62.8197937011719,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,77
-73.0477142333984,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,78
-55.1158638000488,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,79
-71.7373962402344,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,80
-69.6555709838867,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,81
-34.4465751647949,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,82
-24.5853404998779,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,83
-52.2947425842285,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,84
-30.6037788391113,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,85
-25.2986507415772,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,86
-58.3096313476563,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,87
-27.7439842224121,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,88
-27.4661922454834,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,89
-37.7938652038574,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,90
-61.3979415893555,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,91
-47.0311012268066,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,92
-64.8421020507813,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,93
-47.2394943237305,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,94
-55.2679786682129,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,95
-39.0332336425781,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,96
-26.1388816833496,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,97
-37.4255104064941,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,98
-38.9542503356934,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,99
-24.9543628692627,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,100
-30.7838001251221,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,101
-47.7168197631836,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,102
-24.5453262329102,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,103
-56.7314186096191,maximize,-81.7998886108398,lcbench,167168,val_accuracy,1,104
-83.4797744750977,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,105
-76.2909774780274,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,106
-61.5938224792481,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,107
-24.0678215026855,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,108
-26.2755947113037,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,109
-52.9442901611328,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,110
-25.5012531280518,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,111
-75.0841293334961,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,112
-51.4421730041504,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,113
-63.985050201416,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,114
-30.1043815612793,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,115
-50.3160209655762,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,116
-45.426139831543,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,117
-39.9293975830078,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,118
-37.1379470825195,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,119
-42.5960845947266,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,120
-25.7742595672607,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,121
-57.8938369750977,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,122
-27.1380214691162,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,123
-47.6973457336426,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,124
-48.4085693359375,maximize,-83.4797744750977,lcbench,167168,val_accuracy,1,125
-73.9706954956055,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,1
-25.6868534088135,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,2
-33.0826873779297,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,3
-49.9471282958984,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,4
-63.0170860290527,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,5
-26.5635776519775,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,6
-32.7129173278809,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,7
-26.9609050750732,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,8
-42.2285003662109,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,9
-29.2463092803955,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,10
-47.0615196228027,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,11
-42.66015625,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,12
-52.533073425293,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,13
-27.5551853179932,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,14
-24.8465518951416,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,15
-25.6899394989014,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,16
-25.3117790222168,maximize,-73.9706954956055,lcbench,167168,val_accuracy,1,17
-74.9603576660156,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,18
-67.0479507446289,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,19
-28.7907466888428,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,20
-27.3585376739502,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,21
-45.8903923034668,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,22
-66.9924774169922,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,23
-65.3975448608399,maximize,-74.9603576660156,lcbench,167168,val_accuracy,1,24
