scenario,instance,target_variable,orig_direction,rs_small,se_rs_small,rs_large
lcbench,167168,val_accuracy,maximize,-81.0454821268718,0.459069254828809,-88.6957778930664
lcbench,189873,val_accuracy,maximize,-84.2023579915365,0.693495662166854,-95.4016571044922
lcbench,189906,val_accuracy,maximize,-88.297954305013,0.299840960561657,-94.6617584228516
rbv2_rpart,14,acc,maximize,-0.770854868491491,0.00195916786426461,-0.800861835479736
rbv2_rpart,40499,acc,maximize,-0.868237368265788,0.000761188980817405,-0.885781943798065
rbv2_xgboost,12,acc,maximize,-0.980419502655665,0.000396456299759114,-0.986487030982971
rbv2_xgboost,1501,acc,maximize,-0.936144272486369,0.00105638793635985,-0.955501556396484
rbv2_xgboost,40499,acc,maximize,-0.989640804131826,0.000410108878580308,-0.99599689245224
