target,orig_direction,best,scenario,instance,target_variable,repl,iter
-46.5710258483887,maximize,-46.5710258483887,lcbench,167168,val_accuracy,1,1
-32.7867546081543,maximize,-46.5710258483887,lcbench,167168,val_accuracy,1,2
-62.931324005127,maximize,-62.931324005127,lcbench,167168,val_accuracy,1,3
-27.712516784668,maximize,-62.931324005127,lcbench,167168,val_accuracy,1,4
-58.1035766601563,maximize,-62.931324005127,lcbench,167168,val_accuracy,1,5
-38.4493408203125,maximize,-62.931324005127,lcbench,167168,val_accuracy,1,6
-25.4180698394775,maximize,-62.931324005127,lcbench,167168,val_accuracy,1,7
-48.3083076477051,maximize,-62.931324005127,lcbench,167168,val_accuracy,1,8
-49.8322715759277,maximize,-62.931324005127,lcbench,167168,val_accuracy,1,9
-52.0654373168945,maximize,-62.931324005127,lcbench,167168,val_accuracy,1,10
-51.2583351135254,maximize,-62.931324005127,lcbench,167168,val_accuracy,1,11
-63.1772689819336,maximize,-63.1772689819336,lcbench,167168,val_accuracy,1,12
-33.1941833496094,maximize,-63.1772689819336,lcbench,167168,val_accuracy,1,13
-59.4668312072754,maximize,-63.1772689819336,lcbench,167168,val_accuracy,1,14
-74.0524291992188,maximize,-74.0524291992188,lcbench,167168,val_accuracy,1,15
-46.1866683959961,maximize,-74.0524291992188,lcbench,167168,val_accuracy,1,16
-70.0591583251953,maximize,-74.0524291992188,lcbench,167168,val_accuracy,1,17
-76.3522644042969,maximize,-76.3522644042969,lcbench,167168,val_accuracy,1,18
-62.8525161743164,maximize,-76.3522644042969,lcbench,167168,val_accuracy,1,19
-57.5016212463379,maximize,-76.3522644042969,lcbench,167168,val_accuracy,1,20
-74.1854553222656,maximize,-76.3522644042969,lcbench,167168,val_accuracy,1,21
-55.9985504150391,maximize,-76.3522644042969,lcbench,167168,val_accuracy,1,22
-81.6222229003906,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,23
-26.4436187744141,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,24
-28.3239593505859,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,25
-42.4474220275879,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,26
-73.2346572875977,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,27
-47.5842170715332,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,28
-61.155891418457,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,29
-33.322193145752,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,30
-35.7342948913574,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,31
-23.9211883544922,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,32
-25.6762237548828,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,33
-71.8625640869141,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,34
-52.1962890625,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,35
-33.6759757995605,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,36
-26.9270362854004,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,37
-48.4685287475586,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,38
-34.718864440918,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,39
-38.8206672668457,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,40
-34.8065185546875,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,41
-42.2945175170899,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,42
-31.7629833221436,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,43
-74.3127746582031,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,44
-24.0882587432861,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,45
-32.592098236084,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,46
-51.6311988830567,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,47
-48.7769813537598,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,48
-38.8234786987305,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,49
-44.0231513977051,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,50
-48.4252815246582,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,51
-43.7015609741211,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,52
-40.3031730651855,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,53
-25.117244720459,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,54
-76.6578216552734,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,55
-24.6235408782959,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,56
-26.5874519348145,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,57
-35.1068840026856,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,58
-67.6843643188477,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,59
-25.0716304779053,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,60
-63.0434150695801,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,61
-72.8779373168945,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,62
-63.0233383178711,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,63
-74.9067611694336,maximize,-81.6222229003906,lcbench,167168,val_accuracy,1,64
