budget,d,id,runtime,y,problem
700,7,random_search,0.179000000000002,3.66187943702623,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.602999999999994,1.81047328109348,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.194000000000003,11.6266528438044,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.225999999999999,8.81852536703028,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.412000000000006,10.4194785219218,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.379999999999995,14.2776897499527,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.409999999999997,12.6071498533128,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.332999999999998,3.08701156192656,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.353000000000009,9.10197265635581,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.335000000000008,6.18171421076772,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.412999999999997,6.80700215622437,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.23599999999999,15.1568137407849,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.594000000000008,9.1405619232541,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.210999999999999,12.4202707236668,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.364999999999995,13.5468541910058,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.362000000000009,8.12387031824559,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.494,5.77204899989764,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.352000000000004,17.3146382219174,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.375,11.9412694461007,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.337000000000003,6.04915416819515,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.400000000000006,6.44896478584253,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.457000000000008,12.7924636790798,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.408999999999992,3.22471233447756,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.456000000000003,14.4961263341114,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.272000000000006,10.1674960835837,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.203000000000003,5.74651623533986,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.417000000000002,16.3752783573456,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.305999999999997,8.73209126190199,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.369,9.37865398943125,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.290999999999997,6.07365401485674,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.286000000000001,8.56061705661615,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.390000000000001,4.16533022156613,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.369,3.01250663145647,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.338000000000008,5.94336945075445,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.335999999999999,19.5824627119718,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.436999999999998,18.3145409448942,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.307000000000002,4.45182359069744,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.415999999999997,16.8414310924798,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.206999999999994,6.32224063579886,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.375,17.7722685218695,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.277999999999992,17.3000052526979,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.393000000000001,11.9636475940836,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.379000000000005,10.238945811675,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.187999999999988,6.96154372669834,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.459000000000003,20.3384186683946,lcbench_167168_val_accuracy_eede6a63d2aad5e7
700,7,random_search,0.356999999999999,17.9160344475213,lcbench_167168_val_accuracy_eede6a63d2aad5e7
