config_id,acc,alpha,booster,lambda,nrounds,num.impute.selected.cpo,subsample,colsample_bylevel,colsample_bytree,eta,gamma,max_depth,min_child_weight,rate_drop,skip_drop,repl,trainsize
1,-0.8675962686538696,0.0507839509279,dart,0.0019095096506,9,impute.median,0.8503118459135,0.0442538053542,0.6800216739718,0.0068723830047,0.3408572533185,8.0,12.0375337016016,0.9202914051712,0.951748133637,10,1.0
2,-0.09911052882671356,1010.995067922611,gblinear,69.997244856524,2024,impute.mean,0.3833111376502,,,,,,,,,10,1.0
3,-0.09022274613380432,1.3614814825807,gbtree,0.2038405978987,97,impute.mean,0.2810869938694,0.3438869569171,0.127577313371,0.2542865112562,0.0060953134095,9.0,57.0837678657971,,,10,1.0
4,-0.9713985919952393,0.0145514844734,gblinear,6.6991212179935,183,impute.hist,0.7414954962209,,,,,,,,,10,1.0
5,-0.8644396662712097,0.0009229376496,dart,322.8403181985616,337,impute.hist,0.9186214113608,0.4704930274747,0.1477961402852,0.911401958115,0.0001200685445,11.0,3.662913274789,0.7482402352616,0.286300224252,10,1.0
6,-0.09766612946987152,20.4972426640954,gbtree,0.0088522515252,37,impute.mean,0.4836450382136,0.7523223444726,0.9518168895412,0.0010676564163,0.0204623793205,3.0,137.86214069956,,,10,1.0
7,-0.09276343882083893,64.2343983759019,dart,1.4500467214381,763,impute.median,0.1499380924739,0.170950522339,0.5688788582385,0.0247108461946,0.4117317148709,5.0,25.3721371222542,0.802104008384,0.2005689060315,10,1.0
8,-0.9232819080352783,0.7658867676137,gblinear,0.0440464692528,16,impute.hist,0.5915075834841,,,,,,,,,10,1.0
9,-0.9715042114257812,0.2856095010393,gbtree,3.6870774374233,50,impute.median,0.6931292134337,0.4420449324325,0.219155646693,0.4233515777212,1.8229798916139,12.0,9.0210464049924,,,10,1.0
10,-0.10272188484668732,171.6975716710004,gblinear,0.1118251445656,523,impute.median,0.2592505326495,,,,,,,,,10,1.0
11,-0.0996541753411293,7.6437912108488,dart,735.9232412223406,26,impute.hist,0.3754277423024,0.2003029831592,0.5250740069058,0.0142873354841,0.0005441925272,4.0,71.3794125077226,0.4458863511682,0.3308268105611,10,1.0
12,-0.982761025428772,0.0024670278541,gblinear,0.0201435158858,1051,impute.mean,0.8158977706917,,,,,,,,,10,1.0
13,-0.9514878392219543,0.0054449426719,dart,0.5183936040105,2597,impute.mean,0.6238333997317,0.0735780674405,0.7252848711796,0.0095340278427,0.0013753883533,1.0,2.7571868177182,0.3317124927416,0.5792950997129,10,1.0
14,-0.828804612159729,3.6516241230715,gblinear,17.0050211616329,15,impute.hist,0.1596900202334,,,,,,,,,10,1.0
15,-0.09602897614240646,378.3147663746168,gbtree,0.0043525563362,305,impute.hist,0.507568041794,0.3154710731935,0.0557281462383,0.2835354303767,0.0751358756227,14.0,31.6189798734395,,,10,1.0
16,-0.8946570754051208,0.1362131854267,gbtree,159.2887872384789,127,impute.median,0.96512087835,0.5285973891057,0.8606707278173,0.0027765214182,6.92108868e-05,7.0,17.0082400203594,,,10,1.0
17,-0.8932708501815796,0.1099662614148,dart,0.1377317679531,843,impute.hist,0.2011780629866,0.8008104141336,0.0346442744788,0.0017129990025,0.0326885931063,6.0,4.2794954242406,0.3769821971655,0.2673451062292,10,1.0
