algorithm,scenario,instance,best,repl
mlr3mbo,lcbench,167168,-88.9838409423828,119
mlr3mbo,lcbench,167168,-88.8796920776367,120
mlr3mbo,lcbench,167168,-89.1703948974609,121
mlr3mbo,lcbench,167168,-89.1231231689453,122
mlr3mbo,lcbench,167168,-89.4207611083984,123
mlr3mbo,lcbench,167168,-89.1234664916992,124
mlr3mbo,lcbench,167168,-89.0592346191406,125
mlr3mbo,lcbench,167168,-89.3985900878906,126
mlr3mbo,lcbench,167168,-89.1901245117188,127
mlr3mbo,lcbench,167168,-89.2581939697266,128
mlr3mbo,lcbench,167168,-89.3900680541992,129
mlr3mbo,lcbench,167168,-89.2704544067383,130
mlr3mbo,lcbench,167168,-89.2496871948242,131
mlr3mbo,lcbench,167168,-89.374382019043,132
mlr3mbo,lcbench,167168,-89.073844909668,133
mlr3mbo,lcbench,167168,-89.0048904418945,134
mlr3mbo,lcbench,167168,-87.7554550170899,135
mlr3mbo,lcbench,167168,-89.3222351074219,136
mlr3mbo,lcbench,167168,-88.9132690429688,137
mlr3mbo,lcbench,167168,-88.9828262329102,138
mlr3mbo,lcbench,167168,-88.8759613037109,139
mlr3mbo,lcbench,167168,-88.946174621582,140
mlr3mbo,lcbench,167168,-89.4211044311524,141
mlr3mbo,lcbench,167168,-89.3907470703125,142
mlr3mbo,lcbench,167168,-88.472412109375,143
mlr3mbo,lcbench,167168,-89.1149673461914,144
mlr3mbo,lcbench,167168,-88.7939529418945,145
mlr3mbo,lcbench,167168,-89.1292419433594,146
mlr3mbo,lcbench,167168,-89.1200637817383,147
mlr3mbo,lcbench,167168,-89.1438674926758,148
mlr3mbo,lcbench,167168,-89.003532409668,149
mlr3mbo,lcbench,167168,-89.1856994628906,150
mlr3mbo,lcbench,167168,-87.8415298461914,151
mlr3mbo,lcbench,167168,-88.2095565795899,152
mlr3mbo,lcbench,167168,-88.9207305908203,153
mlr3mbo,lcbench,167168,-88.970947265625,154
mlr3mbo,lcbench,167168,-86.9722900390625,155
mlr3mbo,lcbench,167168,-89.3829040527344,156
mlr3mbo,lcbench,167168,-89.0809783935547,157
mlr3mbo,lcbench,167168,-89.4200820922852,158
mlr3mbo,lcbench,167168,-89.0205078125,159
mlr3mbo,lcbench,167168,-88.5112380981445,160
mlr3mbo,lcbench,167168,-88.5929794311524,161
mlr3mbo,lcbench,167168,-88.6463928222656,162
