algorithm,scenario,instance,best,repl
mlr3mbo,lcbench,167168,-89.4262161254883,119
mlr3mbo,lcbench,167168,-89.2639846801758,120
mlr3mbo,lcbench,167168,-89.2680740356445,121
mlr3mbo,lcbench,167168,-89.2748870849609,122
mlr3mbo,lcbench,167168,-89.274543762207,123
mlr3mbo,lcbench,167168,-89.2694320678711,124
mlr3mbo,lcbench,167168,-89.2622833251953,125
mlr3mbo,lcbench,167168,-86.1126251220703,126
mlr3mbo,lcbench,167168,-89.2718200683594,127
mlr3mbo,lcbench,167168,-89.2609252929688,128
mlr3mbo,lcbench,167168,-89.2605819702149,129
mlr3mbo,lcbench,167168,-89.4262161254883,130
mlr3mbo,lcbench,167168,-89.273178100586,131
mlr3mbo,lcbench,167168,-89.2251739501953,132
mlr3mbo,lcbench,167168,-89.0191497802734,133
mlr3mbo,lcbench,167168,-89.2759017944336,134
mlr3mbo,lcbench,167168,-89.2721633911133,135
mlr3mbo,lcbench,167168,-89.4262161254883,136
mlr3mbo,lcbench,167168,-89.2711410522461,137
mlr3mbo,lcbench,167168,-89.2701187133789,138
mlr3mbo,lcbench,167168,-89.1537322998047,139
mlr3mbo,lcbench,167168,-89.4262161254883,140
mlr3mbo,lcbench,167168,-89.2752227783203,141
mlr3mbo,lcbench,167168,-89.2629623413086,142
mlr3mbo,lcbench,167168,-89.2755661010742,143
mlr3mbo,lcbench,167168,-89.4262161254883,144
mlr3mbo,lcbench,167168,-86.1113128662109,145
mlr3mbo,lcbench,167168,-89.2670516967774,146
mlr3mbo,lcbench,167168,-89.2714767456055,147
mlr3mbo,lcbench,167168,-89.2289199829102,148
mlr3mbo,lcbench,167168,-89.2694320678711,149
mlr3mbo,lcbench,167168,-89.2707977294922,150
mlr3mbo,lcbench,167168,-89.4262161254883,151
mlr3mbo,lcbench,167168,-89.2728424072266,152
mlr3mbo,lcbench,167168,-89.2684097290039,153
mlr3mbo,lcbench,167168,-89.2714767456055,154
mlr3mbo,lcbench,167168,-86.1126251220703,155
mlr3mbo,lcbench,167168,-89.2653503417969,156
mlr3mbo,lcbench,167168,-89.2714767456055,157
mlr3mbo,lcbench,167168,-89.273178100586,158
mlr3mbo,lcbench,167168,-89.2646713256836,159
mlr3mbo,lcbench,167168,-89.1404647827149,160
mlr3mbo,lcbench,167168,-89.0701065063477,161
mlr3mbo,lcbench,167168,-89.0065841674805,162
mlr3mbo,lcbench,167168,-89.2663726806641,163
mlr3mbo,lcbench,167168,-89.2748870849609,164
mlr3mbo,lcbench,167168,-89.2742004394531,165
mlr3mbo,lcbench,167168,-89.2752227783203,166
mlr3mbo,lcbench,167168,-89.4262161254883,167
mlr3mbo,lcbench,167168,-89.2738647460938,168
mlr3mbo,lcbench,167168,-89.2724990844727,169
mlr3mbo,lcbench,167168,-89.269775390625,170
mlr3mbo,lcbench,167168,-89.274543762207,171
mlr3mbo,lcbench,167168,-89.4262161254883,172
mlr3mbo,lcbench,167168,-89.4262161254883,173
mlr3mbo,lcbench,167168,-89.2629623413086,174
mlr3mbo,lcbench,167168,-89.2742004394531,175
mlr3mbo,lcbench,167168,-89.2680740356445,176
mlr3mbo,lcbench,167168,-89.274543762207,177
mlr3mbo,lcbench,167168,-89.2707977294922,178
mlr3mbo,lcbench,167168,-88.78955078125,179
mlr3mbo,lcbench,167168,-89.2629623413086,180
mlr3mbo,lcbench,167168,-89.4262161254883,181
mlr3mbo,lcbench,167168,-89.273178100586,182
mlr3mbo,lcbench,167168,-89.2748870849609,183
mlr3mbo,lcbench,167168,-89.4262161254883,184
mlr3mbo,lcbench,167168,-89.2619476318359,185
mlr3mbo,lcbench,167168,-89.2748870849609,186
mlr3mbo,lcbench,167168,-89.0588912963867,187
mlr3mbo,lcbench,167168,-89.2738647460938,188
mlr3mbo,lcbench,167168,-89.4262161254883,189
mlr3mbo,lcbench,167168,-89.2684097290039,190
mlr3mbo,lcbench,167168,-89.2735214233399,191
mlr3mbo,lcbench,167168,-89.2724990844727,192
mlr3mbo,lcbench,167168,-89.2711410522461,193
mlr3mbo,lcbench,167168,-89.2701187133789,194
mlr3mbo,lcbench,167168,-89.2759017944336,195
mlr3mbo,lcbench,167168,-89.2721633911133,196
mlr3mbo,lcbench,167168,-89.2738647460938,197
mlr3mbo,lcbench,167168,-89.2636489868164,198
mlr3mbo,lcbench,167168,-86.1126251220703,199
mlr3mbo,lcbench,167168,-89.2738647460938,200
mlr3mbo,lcbench,167168,-89.2728424072266,201
mlr3mbo,lcbench,167168,-89.1108856201172,202
