problem,instance,scenario,target,score
rbv2_svm_1053_logloss,1053,rbv2_svm,logloss,0.396926939487457
rbv2_svm_1067_acc,1067,rbv2_svm,acc,0.869327366352081
rbv2_svm_1067_bac,1067,rbv2_svm,bac,0.603846907615662
rbv2_svm_1067_auc,1067,rbv2_svm,auc,0.759258091449738
rbv2_svm_1067_logloss,1067,rbv2_svm,logloss,0.351099342107773
rbv2_svm_1056_acc,1056,rbv2_svm,acc,0.998830556869507
rbv2_svm_1056_bac,1056,rbv2_svm,bac,0.773664772510529
rbv2_svm_1056_auc,1056,rbv2_svm,auc,0.953644454479218
rbv2_svm_1056_logloss,1056,rbv2_svm,logloss,0.0100760394707322
rbv2_svm_12_acc,12,rbv2_svm,acc,0.986610412597656
rbv2_svm_12_bac,12,rbv2_svm,bac,0.984699249267578
rbv2_svm_12_auc,12,rbv2_svm,auc,0.999366939067841
rbv2_svm_12_logloss,12,rbv2_svm,logloss,0.082479789853096
rbv2_svm_1487_acc,1487,rbv2_svm,acc,0.957645297050476
rbv2_svm_1487_bac,1487,rbv2_svm,bac,0.649691760540009
rbv2_svm_1487_auc,1487,rbv2_svm,auc,0.897692859172821
rbv2_svm_1487_logloss,1487,rbv2_svm,logloss,0.168771013617516
rbv2_svm_1068_acc,1068,rbv2_svm,acc,0.960056483745575
rbv2_svm_1068_bac,1068,rbv2_svm,bac,0.62458086013794
rbv2_svm_1068_auc,1068,rbv2_svm,auc,0.797596514225006
rbv2_svm_1068_logloss,1068,rbv2_svm,logloss,0.186342477798462
rbv2_svm_32_acc,32,rbv2_svm,acc,0.99781996011734
rbv2_svm_32_bac,32,rbv2_svm,bac,0.998315334320068
rbv2_svm_32_auc,32,rbv2_svm,auc,0.999973297119141
rbv2_svm_32_logloss,32,rbv2_svm,logloss,0.0123973917216063
rbv2_svm_470_acc,470,rbv2_svm,acc,0.76009601354599
rbv2_svm_470_bac,470,rbv2_svm,bac,0.70204895734787
rbv2_svm_470_auc,470,rbv2_svm,auc,0.846816539764404
rbv2_svm_470_logloss,470,rbv2_svm,logloss,0.491849929094315
rbv2_svm_312_acc,312,rbv2_svm,acc,0.98611056804657
rbv2_svm_312_bac,312,rbv2_svm,bac,0.937968194484711
rbv2_svm_312_auc,312,rbv2_svm,auc,0.995812594890594
rbv2_svm_312_logloss,312,rbv2_svm,logloss,0.0702812373638153
rbv2_svm_38_acc,38,rbv2_svm,acc,0.979559183120728
rbv2_svm_38_bac,38,rbv2_svm,bac,0.860836386680603
rbv2_svm_38_auc,38,rbv2_svm,auc,0.987324655056
rbv2_svm_38_logloss,38,rbv2_svm,logloss,0.0833934918045998
rbv2_svm_40982_acc,40982,rbv2_svm,acc,0.774104237556458
rbv2_svm_40982_bac,40982,rbv2_svm,bac,0.750399589538574
rbv2_svm_40982_auc,40982,rbv2_svm,auc,0.962751388549805
rbv2_svm_40982_logloss,40982,rbv2_svm,logloss,0.644912421703339
rbv2_svm_50_acc,50,rbv2_svm,acc,0.99983948469162
rbv2_svm_50_bac,50,rbv2_svm,bac,0.998031675815582
rbv2_svm_50_auc,50,rbv2_svm,auc,0.999937057495117
rbv2_svm_50_logloss,50,rbv2_svm,logloss,0.0038965898565948
rbv2_svm_41216_acc,41216,rbv2_svm,acc,0.271955817937851
rbv2_svm_41216_bac,41216,rbv2_svm,bac,0.17995648086071
rbv2_svm_41216_auc,41216,rbv2_svm,auc,0.811268627643585
rbv2_svm_41216_logloss,41216,rbv2_svm,logloss,1.65363478660584
rbv2_svm_307_acc,307,rbv2_svm,acc,0.995388031005859
rbv2_svm_307_bac,307,rbv2_svm,bac,0.988247871398926
rbv2_svm_307_auc,307,rbv2_svm,auc,0.99965101480484
rbv2_svm_307_logloss,307,rbv2_svm,logloss,0.0554053150117397
rbv2_svm_40498_acc,40498,rbv2_svm,acc,0.679286956787109
rbv2_svm_40498_bac,40498,rbv2_svm,bac,7.7060428350928e-14
rbv2_svm_40498_auc,40498,rbv2_svm,auc,5.45554270162119e-14
rbv2_svm_40498_logloss,40498,rbv2_svm,logloss,0.808545708656311
rbv2_svm_181_acc,181,rbv2_svm,acc,0.635763823986054
rbv2_svm_181_bac,181,rbv2_svm,bac,0.525351226329804
rbv2_svm_181_auc,181,rbv2_svm,auc,0.926008522510529
rbv2_svm_181_logloss,181,rbv2_svm,logloss,0.939793527126312
rbv2_svm_1464_acc,1464,rbv2_svm,acc,0.801179587841034
rbv2_svm_1464_bac,1464,rbv2_svm,bac,0.643005013465881
rbv2_svm_1464_auc,1464,rbv2_svm,auc,0.786859154701233
rbv2_svm_1464_logloss,1464,rbv2_svm,logloss,0.452702224254608
rbv2_svm_41164_acc,41164,rbv2_svm,acc,0.695050716400147
rbv2_svm_41164_bac,41164,rbv2_svm,bac,0.87001234292984
rbv2_svm_41164_auc,41164,rbv2_svm,auc,0.943987846374512
rbv2_svm_41164_logloss,41164,rbv2_svm,logloss,0.772180378437042
rbv2_svm_16_acc,16,rbv2_svm,acc,0.982499718666077
rbv2_svm_16_bac,16,rbv2_svm,bac,0.986430585384369
rbv2_svm_16_auc,16,rbv2_svm,auc,0.999481320381165
rbv2_svm_16_logloss,16,rbv2_svm,logloss,0.0991527885198593
rbv2_svm_1461_acc,1461,rbv2_svm,acc,0.92333322763443
rbv2_svm_1461_bac,1461,rbv2_svm,bac,0.681871831417084
rbv2_svm_1461_auc,1461,rbv2_svm,auc,0.900938212871552
rbv2_svm_1461_logloss,1461,rbv2_svm,logloss,0.243579462170601
rbv2_svm_41162_acc,41162,rbv2_svm,acc,0.934593021869659
rbv2_svm_41162_bac,41162,rbv2_svm,bac,0.691927075386047
rbv2_svm_41162_auc,41162,rbv2_svm,auc,0.873992383480072
rbv2_svm_41162_logloss,41162,rbv2_svm,logloss,0.225483179092407
rbv2_svm_6_acc,6,rbv2_svm,acc,0.981103718280792
rbv2_svm_6_bac,6,rbv2_svm,bac,0.981447875499725
rbv2_svm_6_auc,6,rbv2_svm,auc,0.998096346855164
rbv2_svm_6_logloss,6,rbv2_svm,logloss,0.108835518360138
rbv2_svm_14_acc,14,rbv2_svm,acc,0.844372868537903
rbv2_svm_14_bac,14,rbv2_svm,bac,0.895056486129761
rbv2_svm_14_auc,14,rbv2_svm,auc,0.991309940814972
rbv2_svm_14_logloss,14,rbv2_svm,logloss,0.371583044528961
rbv2_svm_1494_acc,1494,rbv2_svm,acc,0.886089503765106
rbv2_svm_1494_bac,1494,rbv2_svm,bac,0.900804162025452
rbv2_svm_1494_auc,1494,rbv2_svm,auc,0.979237735271454
rbv2_svm_1494_logloss,1494,rbv2_svm,logloss,0.303591907024384
rbv2_svm_54_acc,54,rbv2_svm,acc,0.837123394012451
rbv2_svm_54_bac,54,rbv2_svm,bac,0.870065450668335
rbv2_svm_54_auc,54,rbv2_svm,auc,0.99066162109375
rbv2_svm_54_logloss,54,rbv2_svm,logloss,0.30101615190506
rbv2_svm_375_acc,375,rbv2_svm,acc,0.997385621070862
rbv2_svm_375_bac,375,rbv2_svm,bac,0.996291399002075
rbv2_svm_375_auc,375,rbv2_svm,auc,0.999895095825195
rbv2_svm_375_logloss,375,rbv2_svm,logloss,0.0155431609600782
rbv2_svm_1590_acc,1590,rbv2_svm,acc,0.875159084796906
rbv2_svm_1590_bac,1590,rbv2_svm,bac,0.766706109046936
rbv2_svm_1590_auc,1590,rbv2_svm,auc,0.915412187576294
rbv2_svm_1590_logloss,1590,rbv2_svm,logloss,0.293456584215164
rbv2_svm_23_acc,23,rbv2_svm,acc,0.636229276657105
rbv2_svm_23_bac,23,rbv2_svm,bac,0.638165414333344
rbv2_svm_23_auc,23,rbv2_svm,auc,0.864075362682343
rbv2_svm_23_logloss,23,rbv2_svm,logloss,0.819659650325775
rbv2_svm_41163_acc,41163,rbv2_svm,acc,0.992273092269897
rbv2_svm_41163_bac,41163,rbv2_svm,bac,0.995248675346375
rbv2_svm_41163_auc,41163,rbv2_svm,auc,0.999679625034332
rbv2_svm_41163_logloss,41163,rbv2_svm,logloss,0.0300621576607227
rbv2_svm_1111_acc,1111,rbv2_svm,acc,0.992544770240784
rbv2_svm_1111_bac,1111,rbv2_svm,bac,0.89615660905838
rbv2_svm_1111_auc,1111,rbv2_svm,auc,0.967572689056396
rbv2_svm_1111_logloss,1111,rbv2_svm,logloss,0.0393773652613163
rbv2_svm_41027_acc,41027,rbv2_svm,acc,0.882418274879456
rbv2_svm_41027_bac,41027,rbv2_svm,bac,0.856457054615021
rbv2_svm_41027_auc,41027,rbv2_svm,auc,0.972290217876434
rbv2_svm_41027_logloss,41027,rbv2_svm,logloss,0.352297365665436
rbv2_svm_40668_acc,40668,rbv2_svm,acc,0.905717849731445
rbv2_svm_40668_bac,40668,rbv2_svm,bac,0.810487568378449
rbv2_svm_40668_auc,40668,rbv2_svm,auc,0.942117154598236
rbv2_svm_40668_logloss,40668,rbv2_svm,logloss,0.323456257581711
rbv2_svm_41138_acc,41138,rbv2_svm,acc,0.992063045501709
rbv2_svm_41138_bac,41138,rbv2_svm,bac,0.911092340946198
rbv2_svm_41138_auc,41138,rbv2_svm,auc,0.991620063781738
rbv2_svm_41138_logloss,41138,rbv2_svm,logloss,0.0465173721313477
rbv2_svm_4135_acc,4135,rbv2_svm,acc,0.95604932308197
rbv2_svm_4135_bac,4135,rbv2_svm,bac,0.578025281429291
rbv2_svm_4135_auc,4135,rbv2_svm,auc,0.728528439998627
rbv2_svm_4135_logloss,4135,rbv2_svm,logloss,0.171629950404167
rbv2_svm_4538_acc,4538,rbv2_svm,acc,0.587078809738159
rbv2_svm_4538_bac,4538,rbv2_svm,bac,0.530731439590454
rbv2_svm_4538_auc,4538,rbv2_svm,auc,0.848548173904419
rbv2_svm_4538_logloss,4538,rbv2_svm,logloss,1.0110889673233
rbv2_svm_40496_acc,40496,rbv2_svm,acc,0.791798114776611
rbv2_svm_40496_bac,40496,rbv2_svm,bac,0.865961194038391
rbv2_svm_40496_auc,40496,rbv2_svm,auc,0.990659713745117
rbv2_svm_40496_logloss,40496,rbv2_svm,logloss,0.804311573505402
rbv2_svm_4534_acc,4534,rbv2_svm,acc,0.977609872817993
rbv2_svm_4534_bac,4534,rbv2_svm,bac,0.953311622142792
rbv2_svm_4534_auc,4534,rbv2_svm,auc,0.994300007820129
rbv2_svm_4534_logloss,4534,rbv2_svm,logloss,0.0777813270688057
rbv2_svm_40900_acc,40900,rbv2_svm,acc,0.997834086418152
rbv2_svm_40900_bac,40900,rbv2_svm,bac,0.883128345012665
rbv2_svm_40900_auc,40900,rbv2_svm,auc,0.984181046485901
rbv2_svm_40900_logloss,40900,rbv2_svm,logloss,0.0128653468564153
rbv2_svm_1457_acc,1457,rbv2_svm,acc,0.834938943386078
rbv2_svm_1457_bac,1457,rbv2_svm,bac,0.95742803812027
rbv2_svm_1457_auc,1457,rbv2_svm,auc,0.989664435386658
