job_id,problem,instance,scenario,target,mean_score,sd_score
67,rbv2_svm_1476_auc,1476,rbv2_svm,auc,-0.999814888513088,4.42113159228504e-05
68,rbv2_svm_1476_logloss,1476,rbv2_svm,logloss,0.0272535744540393,0.00560509521479675
69,rbv2_svm_1478_acc,1478,rbv2_svm,acc,-0.99015744729042,0.000863322565150175
70,rbv2_svm_1478_bac,1478,rbv2_svm,bac,-0.991712475562096,0.0014797104077726
71,rbv2_svm_1478_auc,1478,rbv2_svm,auc,-0.999612491607666,0.000148695568524139
72,rbv2_svm_1478_logloss,1478,rbv2_svm,logloss,0.0314548072949052,0.00317151851446754
73,rbv2_svm_1479_acc,1479,rbv2_svm,acc,-0.765836119294167,0.00694664091506403
74,rbv2_svm_1479_bac,1479,rbv2_svm,bac,-0.758564920318127,0.00808563122957031
75,rbv2_svm_1479_auc,1479,rbv2_svm,auc,-0.932868137609959,0.00383061438515898
76,rbv2_svm_1479_logloss,1479,rbv2_svm,logloss,0.500389252650738,0.0101985687299544
77,rbv2_svm_41212_acc,41212,rbv2_svm,acc,-0.797570655679703,0.00532728540877624
78,rbv2_svm_41212_bac,41212,rbv2_svm,bac,-0.70702781304121,0.00860280786831353
79,rbv2_svm_41212_auc,41212,rbv2_svm,auc,-0.96296012866497,0.00474479738502634
80,rbv2_svm_41212_logloss,41212,rbv2_svm,logloss,0.569735962796211,0.0093724917821732
81,rbv2_svm_1480_acc,1480,rbv2_svm,acc,-0.736577085888386,0.0037175209285298
82,rbv2_svm_1480_bac,1480,rbv2_svm,bac,-0.56358189291954,0.00839461871720539
83,rbv2_svm_1480_auc,1480,rbv2_svm,auc,-0.756697344887257,0.0122498755328497
84,rbv2_svm_1480_logloss,1480,rbv2_svm,logloss,0.519571873837709,0.0130589643892071
85,rbv2_svm_1053_acc,1053,rbv2_svm,acc,-0.824546396875381,0.00176883444503712
86,rbv2_svm_1053_bac,1053,rbv2_svm,bac,-0.571105609762669,0.00560344564854324
87,rbv2_svm_1053_auc,1053,rbv2_svm,auc,-0.77580863212347,0.00479247119678549
88,rbv2_svm_1053_logloss,1053,rbv2_svm,logloss,0.42137719335556,0.0049129985819771
89,rbv2_svm_1067_acc,1067,rbv2_svm,acc,-0.858030284416676,0.00322815611644227
90,rbv2_svm_1067_bac,1067,rbv2_svm,bac,-0.576127534496784,0.00471908978544498
91,rbv2_svm_1067_auc,1067,rbv2_svm,auc,-0.744962409901619,0.00545175510161053
92,rbv2_svm_1067_logloss,1067,rbv2_svm,logloss,0.371496604442596,0.00247572360889937
93,rbv2_svm_1056_acc,1056,rbv2_svm,acc,-0.997934112155438,0.000291170774409
94,rbv2_svm_1056_bac,1056,rbv2_svm,bac,-0.717069237208366,0.0188612978380052
95,rbv2_svm_1056_auc,1056,rbv2_svm,auc,-0.926899589109421,0.0100661039750583
96,rbv2_svm_1056_logloss,1056,rbv2_svm,logloss,0.0154303591605276,0.0020536332982725
97,rbv2_svm_12_acc,12,rbv2_svm,acc,-0.985285889589787,0.000390062483506742
98,rbv2_svm_12_bac,12,rbv2_svm,bac,-0.982563777053356,0.000776009923849397
99,rbv2_svm_12_auc,12,rbv2_svm,auc,-0.999089259684086,0.000105261749474671
100,rbv2_svm_12_logloss,12,rbv2_svm,logloss,0.0905845228865743,0.00282924739514759
101,rbv2_svm_1487_acc,1487,rbv2_svm,acc,-0.948772553575039,0.00252587447193974
102,rbv2_svm_1487_bac,1487,rbv2_svm,bac,-0.617233481037617,0.00566872205928356
103,rbv2_svm_1487_auc,1487,rbv2_svm,auc,-0.894528901147842,0.000958885275958919
104,rbv2_svm_1487_logloss,1487,rbv2_svm,logloss,0.171025972440839,0.00130926917822194
105,rbv2_svm_1068_acc,1068,rbv2_svm,acc,-0.95299725407362,0.00361754138578845
106,rbv2_svm_1068_bac,1068,rbv2_svm,bac,-0.583211148381233,0.0153646274753324
107,rbv2_svm_1068_auc,1068,rbv2_svm,auc,-0.783872841286659,0.00610844700633294
108,rbv2_svm_1068_logloss,1068,rbv2_svm,logloss,0.20378792617023,0.00813684544832487
109,rbv2_svm_32_acc,32,rbv2_svm,acc,-0.997311806440353,0.000230510000036337
110,rbv2_svm_32_bac,32,rbv2_svm,bac,-0.997610653865337,0.000347122059072341
111,rbv2_svm_32_auc,32,rbv2_svm,auc,-0.999946035385132,1.77674522085112e-05
112,rbv2_svm_32_logloss,32,rbv2_svm,logloss,0.0177058937493712,0.00110838159193112
113,rbv2_svm_470_acc,470,rbv2_svm,acc,-0.759310783064365,0.000811106215298331
114,rbv2_svm_470_bac,470,rbv2_svm,bac,-0.70133570407629,0.000853150331095979
115,rbv2_svm_470_auc,470,rbv2_svm,auc,-0.829791344070435,0.00532794871386219
116,rbv2_svm_470_logloss,470,rbv2_svm,logloss,0.501078951889277,0.0042395237672937
117,rbv2_svm_312_acc,312,rbv2_svm,acc,-0.985105857241154,0.00087780359013016
118,rbv2_svm_312_bac,312,rbv2_svm,bac,-0.934801270663738,0.00301506558445369
119,rbv2_svm_312_auc,312,rbv2_svm,auc,-0.995380133354664,0.000445412524754611
120,rbv2_svm_312_logloss,312,rbv2_svm,logloss,0.07418615141958,0.00339562487227514
121,rbv2_svm_38_acc,38,rbv2_svm,acc,-0.978265188694,0.000615505074330629
122,rbv2_svm_38_bac,38,rbv2_svm,bac,-0.846820915210247,0.00495628802845404
123,rbv2_svm_38_auc,38,rbv2_svm,auc,-0.985781160402298,0.0010178523529058
124,rbv2_svm_38_logloss,38,rbv2_svm,logloss,0.0861759434580803,0.00193615328438192
125,rbv2_svm_40982_acc,40982,rbv2_svm,acc,-0.770616532480717,0.00249473972082237
126,rbv2_svm_40982_bac,40982,rbv2_svm,bac,-0.743253650212288,0.00434680600954364
127,rbv2_svm_40982_auc,40982,rbv2_svm,auc,-0.954396592664719,0.00238257955994803
128,rbv2_svm_40982_logloss,40982,rbv2_svm,logloss,0.659248476207256,0.0085658158695435
129,rbv2_svm_50_acc,50,rbv2_svm,acc,-0.999784116673469,3.70015976870103e-05
130,rbv2_svm_50_bac,50,rbv2_svm,bac,-0.997614640676975,0.000247640746701251
131,rbv2_svm_50_auc,50,rbv2_svm,auc,-0.99992187538147,1.32208559714598e-05
132,rbv2_svm_50_logloss,50,rbv2_svm,logloss,0.00500290145659819,0.00044002811222659
133,rbv2_svm_41216_acc,41216,rbv2_svm,acc,-0.262274993884563,0.00262132784009795
134,rbv2_svm_41216_bac,41216,rbv2_svm,bac,-0.169915028178692,0.00283548751000726
135,rbv2_svm_41216_auc,41216,rbv2_svm,auc,-0.803385659658909,0.00726592483514897
136,rbv2_svm_41216_logloss,41216,rbv2_svm,logloss,1.72442796480656,0.050868406746623
137,rbv2_svm_307_acc,307,rbv2_svm,acc,-0.993868349409103,0.00077025997458967
138,rbv2_svm_307_bac,307,rbv2_svm,bac,-0.986716203308105,0.000983379090983091
139,rbv2_svm_307_auc,307,rbv2_svm,auc,-0.999023359620571,0.000287692623664166
140,rbv2_svm_307_logloss,307,rbv2_svm,logloss,0.0702932250976563,0.00593848312457303
141,rbv2_svm_40498_acc,40498,rbv2_svm,acc,-0.673009307813644,0.00367847750115696
142,rbv2_svm_40498_bac,40498,rbv2_svm,bac,-2.73819783470561e-14,1.04699169307193e-14
143,rbv2_svm_40498_auc,40498,rbv2_svm,auc,-1.64396792186328e-14,6.54352511223882e-15
144,rbv2_svm_40498_logloss,40498,rbv2_svm,logloss,0.893341711986065,0.0253293537410092
145,rbv2_svm_181_acc,181,rbv2_svm,acc,-0.635089593744278,0.000447307126328352
146,rbv2_svm_181_bac,181,rbv2_svm,bac,-0.503430836600065,0.0048716695672538
147,rbv2_svm_181_auc,181,rbv2_svm,auc,-0.919538635897636,0.00249062066769419
148,rbv2_svm_181_logloss,181,rbv2_svm,logloss,0.998561657559872,0.0196919521999758
149,rbv2_svm_1464_acc,1464,rbv2_svm,acc,-0.785885914874077,0.00428284864182285
150,rbv2_svm_1464_bac,1464,rbv2_svm,bac,-0.593836058986187,0.00851351426110417
151,rbv2_svm_1464_auc,1464,rbv2_svm,auc,-0.764257045412064,0.0109195059593407
152,rbv2_svm_1464_logloss,1464,rbv2_svm,logloss,0.482553830379248,0.0104683166463083
153,rbv2_svm_41164_acc,41164,rbv2_svm,acc,-0.693298902785778,0.00147141910983828
154,rbv2_svm_41164_bac,41164,rbv2_svm,bac,-0.822276824772358,0.0181954061945191
155,rbv2_svm_41164_auc,41164,rbv2_svm,auc,-0.921909714341164,0.00884643507174858
156,rbv2_svm_41164_logloss,41164,rbv2_svm,logloss,0.814590905499458,0.0248625586074239
157,rbv2_svm_16_acc,16,rbv2_svm,acc,-0.979030682313442,0.000847988998169151
158,rbv2_svm_16_bac,16,rbv2_svm,bac,-0.981608920621872,0.00215518587608203
159,rbv2_svm_16_auc,16,rbv2_svm,auc,-0.998955618536472,0.000261065091792892
160,rbv2_svm_16_logloss,16,rbv2_svm,logloss,0.109133514325321,0.00364434353683453
