job_id,problem,instance,scenario,target,score,quantiles_001,quantiles_01,quantiles_05,quantiles_10,quantiles_20
1,rbv2_svm_40981_acc,40981,rbv2_svm,acc,-0.87730747461319,-0.869665625870228,-0.864157388806343,-0.85405804514885,-0.850189453363419,-0.846672010421753
2,rbv2_svm_40981_bac,40981,rbv2_svm,bac,-0.917443335056305,-0.902814924716949,-0.889398055672646,-0.868601405620575,-0.859736979007721,-0.850885212421417
3,rbv2_svm_40981_auc,40981,rbv2_svm,auc,-0.981328129768372,-0.975204229354858,-0.964988768100739,-0.948697090148926,-0.941353797912598,-0.934683918952942
4,rbv2_svm_40981_logloss,40981,rbv2_svm,logloss,0.312536150217056,0.339450652718544,0.356027960777283,0.371250301599503,0.380476772785187,0.385387867689133
5,rbv2_svm_4134_acc,4134,rbv2_svm,acc,-0.77949070930481,-0.772514343798161,-0.769305348396301,-0.763772857189179,-0.756918150186539,-0.738877177238464
6,rbv2_svm_4134_bac,4134,rbv2_svm,bac,-0.8204465508461,-0.784213192760944,-0.761373937129974,-0.732133507728577,-0.721529722213745,-0.696708059310913
7,rbv2_svm_4134_auc,4134,rbv2_svm,auc,-0.920719683170319,-0.907574951648712,-0.893679857254028,-0.874594390392304,-0.859030485153198,-0.825513911247253
8,rbv2_svm_4134_logloss,4134,rbv2_svm,logloss,0.42753878235817,0.476986459165812,0.522665202617645,0.532908689975739,0.544902050495148,0.573517966270447
9,rbv2_svm_1220_acc,1220,rbv2_svm,acc,-0.860995531082153,-0.856160286664963,-0.849851856231689,-0.842133045196533,-0.839375561475754,-0.836446881294251
10,rbv2_svm_1220_bac,1220,rbv2_svm,bac,-0.647898674011231,-0.626409771442413,-0.608575940132141,-0.589568614959717,-0.579548716545105,-0.565234422683716
11,rbv2_svm_1220_auc,1220,rbv2_svm,auc,-0.784226596355438,-0.779564683139324,-0.768684356808663,-0.75676554441452,-0.74114682674408,-0.702856838703156
12,rbv2_svm_1220_logloss,1220,rbv2_svm,logloss,0.307113856077194,0.309456675320864,0.321837773621082,0.356895710527897,0.38297167122364,0.400616908073425
13,rbv2_svm_40978_acc,40978,rbv2_svm,acc,-0.976093411445618,-0.976031422615051,-0.975309252738953,-0.972139656543732,-0.967020279169083,-0.957985174655914
14,rbv2_svm_40978_bac,40978,rbv2_svm,bac,-0.933200061321259,-0.931826949119568,-0.930345892906189,-0.923519730567932,-0.917273581027985,-0.901029288768768
15,rbv2_svm_40978_auc,40978,rbv2_svm,auc,-0.981872916221619,-0.980843424797058,-0.98001503944397,-0.977617859840393,-0.974137187004089,-0.962452113628387
16,rbv2_svm_40978_logloss,40978,rbv2_svm,logloss,0.109784707427025,0.110082483865321,0.111839024499059,0.118772834539413,0.127083793282509,0.143821239471436
17,rbv2_svm_40966_acc,40966,rbv2_svm,acc,-0.999171018600464,-0.998983860254288,-0.998753070831299,-0.99819940328598,-0.99725067615509,-0.996918201446533
