iter,algorithm,scenario,instance,mean_incumbent,meta_score
1,ax,lcbench,167168,-45.2672649383545,-5.16376322724348
2,ax,lcbench,167168,-61.2728645324707,-2.89210528880392
3,ax,lcbench,167168,-67.5397933959961,-2.00264665785723
4,ax,lcbench,167168,-70.4355536142985,-1.59165445172068
5,ax,lcbench,167168,-71.5545323689779,-1.43283897242136
6,ax,lcbench,167168,-73.7597499847412,-1.11985475253139
7,ax,lcbench,167168,-74.4600833892822,-1.02045716804072
8,ax,lcbench,167168,-75.3974367777507,-0.887419586192162
9,ax,lcbench,167168,-75.44187596639,-0.881112378826596
10,ax,lcbench,167168,-75.597056833903,-0.859087721299271
11,ax,lcbench,167168,-75.6572532653809,-0.850544105008714
12,ax,lcbench,167168,-75.7768277486165,-0.833573024201657
13,ax,lcbench,167168,-76.1059099833171,-0.786866728291838
14,ax,lcbench,167168,-76.1917457580567,-0.774684146943186
15,ax,lcbench,167168,-77.3806294759115,-0.60594712964711
16,ax,lcbench,167168,-78.0559178670248,-0.51010415760547
17,ax,lcbench,167168,-78.9813873291016,-0.378753248947038
18,ax,lcbench,167168,-79.5846532185872,-0.293132354910447
19,ax,lcbench,167168,-80.00128809611,-0.233999804368362
20,ax,lcbench,167168,-80.1876205444336,-0.207553835697577
21,ax,lcbench,167168,-80.5249003092448,-0.159684072949669
22,ax,lcbench,167168,-80.99197362264,-0.0933928481837131
23,ax,lcbench,167168,-81.3752655029297,-0.0389926342161187
24,ax,lcbench,167168,-82.1917528788249,0.0768905614231001
25,ax,lcbench,167168,-82.3024444580078,0.0926009009883717
26,ax,lcbench,167168,-82.4698972066244,0.116367293710587
27,ax,lcbench,167168,-82.7265274047852,0.152790548176456
28,ax,lcbench,167168,-82.9175905863444,0.179907944846315
29,ax,lcbench,167168,-83.0570508321126,0.19970139104202
30,ax,lcbench,167168,-83.2925974527995,0.233132275502768
31,ax,lcbench,167168,-83.5298820495605,0.266809829082193
32,ax,lcbench,167168,-83.7091247558594,0.292249558114327
33,ax,lcbench,167168,-83.912218729655,0.321074472489391
34,ax,lcbench,167168,-83.9222106933594,0.322492621402606
35,ax,lcbench,167168,-83.9766367594401,0.33021725579342
36,ax,lcbench,167168,-84.0338170369466,0.33833279251893
37,ax,lcbench,167168,-84.1908284505209,0.360617257525953
38,ax,lcbench,167168,-84.2325876871745,0.366544102121158
39,ax,lcbench,167168,-84.557761891683,0.412695735410734
40,ax,lcbench,167168,-84.6971468607585,0.432478497664511
41,ax,lcbench,167168,-84.8146886189779,0.449161075945141
42,ax,lcbench,167168,-84.8829513549805,0.458849534364212
43,ax,lcbench,167168,-84.9232966105143,0.464575694104305
44,ax,lcbench,167168,-85.1213300069173,0.492682366045566
45,ax,lcbench,167168,-85.1516456604004,0.496985034901478
46,ax,lcbench,167168,-85.2071520487468,0.504862998296705
47,ax,lcbench,167168,-85.294482421875,0.517257706424767
48,ax,lcbench,167168,-85.3697616577149,0.527942009295751
49,ax,lcbench,167168,-85.4235061645508,0.535569910698849
50,ax,lcbench,167168,-85.4775840759277,0.543245131858251
51,ax,lcbench,167168,-85.4852884928385,0.54433861165784
52,ax,lcbench,167168,-85.5200892130534,0.54927784132397
53,ax,lcbench,167168,-85.5617200215658,0.555186458247986
54,ax,lcbench,167168,-85.6611831665039,0.56930315793501
55,ax,lcbench,167168,-85.6611831665039,0.56930315793501
56,ax,lcbench,167168,-85.6918434143067,0.573654734700758
57,ax,lcbench,167168,-85.7479975382487,0.581624630528714
58,ax,lcbench,167168,-85.8468844095866,0.595659540308961
59,ax,lcbench,167168,-85.8800041198731,0.600360186001654
60,ax,lcbench,167168,-85.9687553405762,0.612956553533586
61,ax,lcbench,167168,-85.9925855000814,0.61633874304145
62,ax,lcbench,167168,-86.0018480936686,0.617653373220048
63,ax,lcbench,167168,-86.0071627298991,0.618407673957856
64,ax,lcbench,167168,-86.0737459818522,0.62785776496988
65,ax,lcbench,167168,-86.076141611735,0.628197774202828
66,ax,lcbench,167168,-86.076141611735,0.628197774202828
67,ax,lcbench,167168,-86.076141611735,0.628197774202828
68,ax,lcbench,167168,-86.0813858032227,0.628942076792276
69,ax,lcbench,167168,-86.084944152832,0.629447109614718
70,ax,lcbench,167168,-86.1448824564616,0.637954090090896
71,ax,lcbench,167168,-86.177826944987,0.64262986674309
72,ax,lcbench,167168,-86.2171579996745,0.648212082022355
73,ax,lcbench,167168,-86.2360763549805,0.650897144319481
74,ax,lcbench,167168,-86.2360763549805,0.650897144319481
75,ax,lcbench,167168,-86.2580233256022,0.654012054807177
76,ax,lcbench,167168,-86.3490470886231,0.666930961883233
77,ax,lcbench,167168,-86.4267064412435,0.677953072228862
78,ax,lcbench,167168,-86.4584823608398,0.682462995120397
79,ax,lcbench,167168,-86.4638809204102,0.683229207009677
80,ax,lcbench,167168,-86.4715710957845,0.684320665522956
81,ax,lcbench,167168,-86.4939783732096,0.687500906871759
